38 0080          pushi 80                       // $80 indexOf
38 0081          pushi 81                       // $81 handleEvent
38 0082          pushi 82                       // $82 start
38 0083          pushi 83                       // $83 timer
38 0084          pushi 84                       // $84 cycles
38 0085          pushi 85                       // $85 seconds
38 0086          pushi 86                       // $86 lastSeconds
38 0087          pushi 87                       // $87 ticks
38 0088          pushi 88                       // $88 lastTicks
38 0089          pushi 89                       // $89 register
38 008a          pushi 8a                       // $8a script
38 008b          pushi 8b                       // $8b caller
38 008c          pushi 8c                       // $8c changeState
38 008d          pushi 8d                       // $8d cue
38 008e          pushi 8e                       // $8e setScript
38 008f          pushi 8f                       // $8f port
38 0090          pushi 90                       // $90 localize
38 0091          pushi 91                       // $91 globalize
38 0092          pushi 92                       // $92 cycleCnt
38 0093          pushi 93                       // $93 ticksToDo
38 0094          pushi 94                       // $94 lastTime
38 0095          pushi 95                       // $95 set
38 0096          pushi 96                       // $96 setCycle
38 0097          pushi 97                       // $97 setReal
38 0098          pushi 98                       // $98 set60ths
38 0099          pushi 99                       // $99 timeLeft
38 009a          pushi 9a                       // $9a prevSignal
38 009b          pushi 9b                       // $9b owner
38 009c          pushi 9c                       // $9c stop
38 009d          pushi 9d                       // $9d pause
38 009e          pushi 9e                       // $9e hold
38 009f          pushi 9f                       // $9f fade
38 00a0          pushi a0                       // $a0 mute
38 00a1          pushi a1                       // $a1 setVol
38 00a2          pushi a2                       // $a2 setLoop
38 00a3          pushi a3                       // $a3 send
38 00a4          pushi a4                       // $a4 check
38 00a5          pushi a5                       // $a5 clean
38 00a6          pushi a6                       // $a6 playBed
38 00a7          pushi a7                       // $a7 enable
38 00a8          pushi a8                       // $a8 select
38 00a9          pushi a9                       // $a9 track
38 00aa          pushi aa                       // $aa setSize
38 00ab          pushi ab                       // $ab move
38 00ac          pushi ac                       // $ac moveTo
38 00ad          pushi ad                       // $ad setMark
38 00ae          pushi ae                       // $ae isType
38 00af          pushi af                       // $af checkState
38 00b0          pushi b0                       // $b0 cycle
38 00b1          pushi b1                       // $b1 advance
38 00b2          pushi b2                       // $b2 retreat
38 00b3          pushi b3                       // $b3 theItem
38 00b4          pushi b4                       // $b4 busy
38 00b5          pushi b5                       // $b5 open
38 00b6          pushi b6                       // $b6 center
38 00b7          pushi b7                       // $b7 top
38 00b8          pushi b8                       // $b8 left
38 00b9          pushi b9                       // $b9 bottom
38 00ba          pushi ba                       // $ba right
38 00bb          pushi bb                       // $bb setCursor
38 00bc          pushi bc                       // $bc helpStr
38 00bd          pushi bd                       // $bd maskView
38 00be          pushi be                       // $be maskLoop
38 00bf          pushi bf                       // $bf maskCel
38 00c0          pushi c0                       // $c0 highlightColor
38 00c1          pushi c1                       // $c1 lowlightColor
38 00c2          pushi c2                       // $c2 show
38 00c3          pushi c3                       // $c3 highlight
38 00c4          pushi c4                       // $c4 onMe
38 00c5          pushi c5                       // $c5 mask
38 00c6          pushi c6                       // $c6 swapCurIcon
38 00c7          pushi c7                       // $c7 advanceCurIcon
38 00c8          pushi c8                       // $c8 dispatchEvent
38 00c9          pushi c9                       // $c9 disable
38 00ca          pushi ca                       // $ca noClickHelp
38 00cb          pushi cb                       // $cb height
38 00cc          pushi cc                       // $cc oldMouseX
38 00cd          pushi cd                       // $cd oldMouseY
38 00ce          pushi ce                       // $ce curIcon
38 00cf          pushi cf                       // $cf highlightedIcon
38 00d0          pushi d0                       // $d0 prevIcon
38 00d1          pushi d1                       // $d1 curInvIcon
38 00d2          pushi d2                       // $d2 useIconItem
38 00d3          pushi d3                       // $d3 helpIconItem
38 00d4          pushi d4                       // $d4 activateHeight
38 00d5          pushi d5                       // $d5 has
38 00d6          pushi d6                       // $d6 cycleDir
38 00d7          pushi d7                       // $d7 completed
38 00d8          pushi d8                       // $d8 nextCel
38 00d9          pushi d9                       // $d9 cycleDone
38 00da          pushi da                       // $da motionCue
38 00db          pushi db                       // $db cycleSpeed
38 00dc          pushi dc                       // $dc cycler
38 00dd          pushi dd                       // $dd lastCel
38 00de          pushi de                       // $de isStopped
38 00df          pushi df                       // $df endCel
38 00e0          pushi e0                       // $e0 xLast
38 00e1          pushi e1                       // $e1 yLast
38 00e2          pushi e2                       // $e2 setTarget
38 00e3          pushi e3                       // $e3 onTarget
38 00e4          pushi e4                       // $e4 setHeading
38 00e5          pushi e5                       // $e5 distance
38 00e6          pushi e6                       // $e6 distanceTo
38 00e7          pushi e7                       // $e7 dynamic
38 00e8          pushi e8                       // $e8 finalX
38 00e9          pushi e9                       // $e9 finalY
38 00ea          pushi ea                       // $ea obstacles
38 00eb          pushi eb                       // $eb incClientPos
38 00ec          pushi ec                       // $ec pickLoop
38 00ed          pushi ed                       // $ed canBeHere
38 00ee          pushi ee                       // $ee bumpTurn
38 00ef          pushi ef                       // $ef lastBumped
38 00f0          pushi f0                       // $f0 thisTurn
38 00f1          pushi f1                       // $f1 escaping
38 00f2          pushi f2                       // $f2 escapes
38 00f3          pushi f3                       // $f3 escapeTurn
38 00f4          pushi f4                       // $f4 nearestDist
38 00f5          pushi f5                       // $f5 counter
38 00f6          pushi f6                       // $f6 nonBumps
38 00f7          pushi f7                       // $f7 targetX
38 00f8          pushi f8                       // $f8 targetY
38 00f9          pushi f9                       // $f9 motionInited
38 00fa          pushi fa                       // $fa outOfTouch
38 00fb          pushi fb                       // $fb offScreenOK
38 00fc          pushi fc                       // $fc syncTime
38 00fd          pushi fd                       // $fd syncCue
38 00fe          pushi fe                       // $fe prevCue
38 00ff          pushi ff                       // $ff syncNum
38 0100          pushi 100                      // $100 syncStart
38 0101          pushi 101                      // $101 syncCheck
38 0102          pushi 102                      // $102 syncStop
38 0103          pushi 103                      // $103 playing
38 0104          pushi 104                      // $104 gx
38 0105          pushi 105                      // $105 gy
38 0106          pushi 106                      // $106 waitApogeeX
38 0107          pushi 107                      // $107 waitApogeeY
38 0108          pushi 108                      // $108 setTest
38 0109          pushi 109                      // $109 theVerb
38 010a          pushi 10a                      // $10a theInvItem
38 010b          pushi 10b                      // $10b actions
38 010c          pushi 10c                      // $10c doVerb
38 010d          pushi 10d                      // $10d noun
38 010e          pushi 10e                      // $10e description
38 010f          pushi 10f                      // $10f sightAngle
38 0110          pushi 110                      // $110 onMeCheck
38 0111          pushi 111                      // $111 approachX
38 0112          pushi 112                      // $112 approachY
38 0113          pushi 113                      // $113 approachDist
38 0114          pushi 114                      // $114 _approachVerbs
38 0115          pushi 115                      // $115 lookStr
38 0116          pushi 116                      // $116 notFacing
38 0117          pushi 117                      // $117 facingMe
38 0118          pushi 118                      // $118 isNotHidden
38 0119          pushi 119                      // $119 approachVerbs
38 011a          pushi 11a                      // $11a canControl
38 011b          pushi 11b                      // $11b setMotion
38 011c          pushi 11c                      // $11c posn
38 011d          pushi 11d                      // $11d stopUpd
38 011e          pushi 11e                      // $11e forceUpd
38 011f          pushi 11f                      // $11f startUpd
38 0120          pushi 120                      // $120 setCel
38 0121          pushi 121                      // $121 ignoreActors
38 0122          pushi 122                      // $122 addToPic
38 0123          pushi 123                      // $123 isExtra
38 0124          pushi 124                      // $124 checkDetail
38 0125          pushi 125                      // $125 detailLevel
38 0126          pushi 126                      // $126 blocks
38 0127          pushi 127                      // $127 baseSetter
38 0128          pushi 128                      // $128 viewer
38 0129          pushi 129                      // $129 avoider
38 012a          pushi 12a                      // $12a code
38 012b          pushi 12b                      // $12b setAvoider
38 012c          pushi 12c                      // $12c ignoreHorizon
38 012d          pushi 12d                      // $12d observeControl
38 012e          pushi 12e                      // $12e ignoreControl
38 012f          pushi 12f                      // $12f observeBlocks
38 0130          pushi 130                      // $130 ignoreBlocks
38 0131          pushi 131                      // $131 findPosn
38 0132          pushi 132                      // $132 inRect
38 0133          pushi 133                      // $133 onControl
38 0134          pushi 134                      // $134 setStep
38 0135          pushi 135                      // $135 setDirection
38 0136          pushi 136                      // $136 horizon
38 0137          pushi 137                      // $137 vanishingY
38 0138          pushi 138                      // $138 vanishingX
38 0139          pushi 139                      // $139 alterEgo
38 013a          pushi 13a                      // $13a input
38 013b          pushi 13b                      // $13b controls
38 013c          pushi 13c                      // $13c echo
38 013d          pushi 13d                      // $13d prevDir
38 013e          pushi 13e                      // $13e prompt
38 013f          pushi 13f                      // $13f inputLineAddr
38 0140          pushi 140                      // $140 mapKeyToDir
38 0141          pushi 141                      // $141 curEvent
38 0142          pushi 142                      // $142 verbMessager
38 0144          pushi 144                      // $144 canInput
38 0145          pushi 145                      // $145 theObj
38 0146          pushi 146                      // $146 edgeHit
38 0147          pushi 147                      // $147 get
38 0148          pushi 148                      // $148 put
38 0149          pushi 149                      // $149 ownedBy
38 014a          pushi 14a                      // $14a lastY
38 014c          pushi 14c                      // $14c writeString
38 014d          pushi 14d                      // $14d write
38 014f          pushi 14f                      // $14f seek
38 0150          pushi 150                      // $150 close
38 0153          pushi 153                      // $153 readFiles
38 0154          pushi 154                      // $154 eraseOnly
38 0155          pushi 155                      // $155 setMapSet
38 0159          pushi 159                      // $159 topBordColor
38 015a          pushi 15a                      // $15a lftBordColor
38 015b          pushi 15b                      // $15b rgtBordColor
38 015c          pushi 15c                      // $15c botBordColor
38 015d          pushi 15d                      // $15d bevelWid
38 015e          pushi 15e                      // $15e shadowWid
38 015f          pushi 15f                      // $15f ck
38 0160          pushi 160                      // $160 insideColor
38 0161          pushi 161                      // $161 topBordColor2
38 0162          pushi 162                      // $162 lftBordColor2
38 0163          pushi 163                      // $163 botBordColor2
38 0164          pushi 164                      // $164 rgtBordColor2
38 0165          pushi 165                      // $165 topBordHgt
38 0168          pushi 168                      // $168 shadWid
38 0169          pushi 169                      // $169 bevWid
38 016a          pushi 16a                      // $16a xOffset
38 016b          pushi 16b                      // $16b yOffset
38 016e          pushi 16e                      // $16e changeScore
38 016f          pushi 16f                      // $16f normalHeading
38 0170          pushi 170                      // $170 empty
38 0172          pushi 172                      // $172 showScore
38 0173          pushi 173                      // $173 iconBarInvItem
38 0174          pushi 174                      // $174 okButton
38 0175          pushi 175                      // $175 selectIcon
38 0176          pushi 176                      // $176 addObstacle
38 0178          pushi 178                      // $178 egoMoveSpeed
38 0179          pushi 179                      // $179 newRoom
38 017a          pushi 17a                      // $17a startRoom
38 017c          pushi 17c                      // $17c setSpeed
38 017d          pushi 17d                      // $17d checkAni
38 017e          pushi 17e                      // $17e notify
38 017f          pushi 17f                      // $17f masterVolume
38 0180          pushi 180                      // $180 curPic
38 0181          pushi 181                      // $181 keep
38 0182          pushi 182                      // $182 initialized
38 0183          pushi 183                      // $183 picture
38 0184          pushi 184                      // $184 north
38 0185          pushi 185                      // $185 east
38 0186          pushi 186                      // $186 south
38 0187          pushi 187                      // $187 west
38 0188          pushi 188                      // $188 picAngle
38 0189          pushi 189                      // $189 setRegions
38 018a          pushi 18a                      // $18a setFeatures
38 018b          pushi 18b                      // $18b setLocales
38 018c          pushi 18c                      // $18c drawPic
38 018d          pushi 18d                      // $18d overlay
38 018e          pushi 18e                      // $18e reflectPosn
38 018f          pushi 18f                      // $18f edgeToRoom
38 0190          pushi 190                      // $190 roomToEdge
38 0191          pushi 191                      // $191 cycleType
38 0192          pushi 192                      // $192 hesitation
38 0193          pushi 193                      // $193 pauseCel
38 0199          pushi 199                      // $199 startExtra
38 019a          pushi 19a                      // $19a higher
38 019b          pushi 19b                      // $19b lower
38 019c          pushi 19c                      // $19c normal
38 01a4          pushi 1a4                      // $1a4 angleStep
38 01a5          pushi 1a5                      // $1a5 winding
38 01a6          pushi 1a6                      // $1a6 curAngle
