51 02            class Collect
51 03            class List
51 04            class Set
51 05            class EventHandler
51 07            class Event
51 08            class Timer
51 0a            class Sound
51 0d            class DText
51 0e            class DIcon
51 0f            class DButton
51 10            class DEdit
51 12            class Dialog
51 14            class IconI
51 15            class IconBar
51 17            class Fwd
51 18            class Walk
51 19            class CT
51 1a            class End
51 1b            class Beg
51 1c            class SyncWalk
51 1d            class Motion
51 1e            class MoveTo
51 1f            class Rev
51 22            class Wander
51 23            class Polygon
51 24            class PolyPath
51 28            class
51 2a            class JumpTo
51 2b            class CueObj
51 2d            class PicView
51 2e            class View
51 2f            class Prop
51 30            class Actor
51 31            class User
51 32            class Ego
51 36            class Class_993_0
51 38            class SysWindow
51 3b            class Restore
51 3c            class Save
51 3f            class InvI
51 40            class Inv
51 45            class SL
51 4f            class Grooper
51 54            class DPath
51 56            class StopWalk
51 59            class ForwardCounter
51 5b            class Approach
51 5c            class MoveFwd
51 5e            class RandCycle
51 5f            class Osc
51 62            class Class_943_3
51 63            class _EditablePolygon
51 68            class GameControls
51 6a            class PseudoMouse
51 6b            class PChase
51 6c            class PFollow
51 6d            class PAvoider
51 6e            class RTRandCycle
51 70            class SyncStop
51 71            class FuzzyStop
51 72            class SlowDown
51 7c            class Wat
51 7e            class Table
51 7f            class MList
51 89            class Monastery
51 8a            class PPath
51 8c            class TheDungeon
51 8d            class Fair
51 8e            class GiveOrTakeIcon
51 8f            class MoneyDialog
51 98            class FootstepWalk
51 9a            class RTEyeCycle
51 9c            class Conversation
51 9f            class GuardFollow
51 a0            class GuardStopWalk



