67 00             pTos species
67 04             pTos -info-
67 06             pTos name
67 06             pTos x
67 08             pTos client
67 08             pTos cycleCnt
67 08             pTos data
67 08             pTos elements
67 08             pTos handle
67 08             pTos nextLoop
67 08             pTos number
67 08             pTos script
67 08             pTos text
67 08             pTos top
67 08             pTos type
67 08             pTos view
67 08             pTos x
67 08             pTos y
67 0a             pTos caller
67 0a             pTos client
67 0a             pTos columns
67 0a             pTos heading
67 0a             pTos left
67 0a             pTos loop
67 0a             pTos number
67 0a             pTos oldCycler
67 0a             pTos points
67 0a             pTos seconds
67 0a             pTos size
67 0a             pTos state
67 0a             pTos y
67 0c             pTos bottom
67 0c             pTos cel
67 0c             pTos curNode
67 0c             pTos curPolygon
67 0c             pTos cycleDir
67 0c             pTos nsTop
67 0c             pTos oldCycler
67 0c             pTos oldMover
67 0c             pTos start
67 0c             pTos text
67 0c             pTos ticksToDo
67 0c             pTos timer
67 0c             pTos x
67 0c             pTos z
67 0e             pTos curPt
67 0e             pTos heading
67 0e             pTos lastTime
67 0e             pTos nsLeft
67 0e             pTos oldMover
67 0e             pTos prevDir
67 0e             pTos right
67 0e             pTos timer
67 0e             pTos underBits
67 0e             pTos x
67 0e             pTos y
67 10             pTos client
67 10             pTos closed
67 10             pTos color
67 10             pTos dx
67 10             pTos nsBottom
67 10             pTos nsTop
67 10             pTos oldMouseX
67 10             pTos theItem
67 10             pTos thisTurn
67 10             pTos y
67 12             pTos back
67 12             pTos count
67 12             pTos dy
67 12             pTos endCel
67 12             pTos howManyCycles
67 12             pTos lookStr
67 12             pTos loopIndex
67 12             pTos nsRight
67 12             pTos nsTop
67 12             pTos oldMouseY
67 12             pTos seconds
67 12             pTos state
67 12             pTos theStopCelArray
67 12             pTos type
67 12             pTos vWalking
67 14             pTos b-moveCnt
67 14             pTos closestPt
67 14             pTos curIcon
67 14             pTos lastSeconds
67 14             pTos nsBottom
67 14             pTos nsLeft
67 14             pTos pnts
67 14             pTos port
67 14             pTos priority
67 14             pTos vStopped
67 16             pTos escapeTurn
67 16             pTos highlightedIcon
67 16             pTos lsTop
67 16             pTos nsBottom
67 16             pTos said
67 16             pTos style
67 16             pTos ticks
67 18             pTos horizon
67 18             pTos lsLeft
67 18             pTos nsRight
67 18             pTos prevSignal
67 18             pTos type
67 18             pTos value
67 18             pTos vNormal
67 1a             pTos counter
67 1a             pTos font
67 1a             pTos lsBottom
67 1a             pTos register
67 1a             pTos text
67 1a             pTos title
67 1a             pTos vChangeDir
67 1a             pTos view
67 1c             pTos curEvent
67 1c             pTos font
67 1c             pTos loop
67 1c             pTos lsRight
67 1c             pTos nonBumps
67 1c             pTos script
67 1c             pTos undoPolyBuf
67 1c             pTos x
67 1e             pTos actions
67 1e             pTos caller
67 1e             pTos cel
67 1e             pTos helpIconItem
67 1e             pTos targetX
67 1e             pTos y
67 20             pTos brBottom
67 20             pTos next
67 20             pTos number
67 20             pTos onMeCheck
67 20             pTos owner
67 20             pTos port
67 20             pTos signal
67 20             pTos targetY
67 20             pTos text
67 22             pTos approachX
67 22             pTos brRight
67 22             pTos client
67 22             pTos cursor
67 22             pTos goodGuy
67 22             pTos lastSeconds
67 22             pTos moves
67 22             pTos notKilled
67 22             pTos number
67 22             pTos taken
67 22             pTos theVerb
67 22             pTos window
67 22             pTos xLast
67 24             pTos eraseOnly
67 24             pTos key
67 24             pTos margin
67 24             pTos maskView
67 24             pTos owner
67 24             pTos scan
67 24             pTos state
67 24             pTos theInvItem
67 24             pTos theLastX
67 24             pTos title
67 24             pTos topString
67 24             pTos yLast
